# SAXS profile: number of points = 802, q_min = 0, q_max = 0.9, delta_q = 0.001125
#    q    intensity    error
0.15412    573441.81250000 14677.60058594
0.15525    558438.75000000 14397.24902344
0.15637    543711.62500000 17968.98828125
0.15750    529267.06250000 13841.65722656
0.15862    515092.62500000 17266.54687500
0.15975    501192.00000000 18127.48828125
0.16087    487568.28125000 21309.77929688
0.16200    474211.28125000 12753.91210938
0.16312    461125.96875000 12487.57910156
0.16425    448308.03125000 14446.16503906
0.16537    435754.18750000 10874.79003906
0.16650    423468.90625000 11703.62109375
0.16762    411441.65625000 15610.35351562
0.16875    399676.09375000 11194.42675781
0.16987    388166.96875000 12933.96582031
0.17100    376916.81250000 11669.34375000
0.17212    365916.68750000 16154.07812500
0.17325    355166.59375000 12068.11621094
0.17437    344668.06250000 11787.00097656
0.17550    334413.53125000 9738.95800781
0.17662    324403.18750000 10371.98046875
0.17775    314632.03125000 10966.89257812
0.17887    305098.40625000 13171.09863281
0.18000    295802.31250000 11243.44531250
0.18112    286735.62500000 9399.91015625
0.18225    277899.25000000 9930.38183594
0.18337    269287.21875000 11171.21093750
0.18450    260900.07812500 9437.40820312
0.18562    252730.26562500 8489.84082031
0.18675    244778.50000000 11029.71875000
0.18787    237041.06250000 8730.37011719
0.18900    229515.43750000 9157.66601562
0.19012    222191.71875000 7643.95019531
0.19125    215075.29687500 8062.90380859
0.19237    208159.75000000 7245.52001953
0.19350    201441.37500000 7640.16748047
0.19462    194916.89062500 5719.59228516
0.19575    188582.90625000 6678.66357422
0.19687    182435.65625000 5414.91796875
0.19800    176474.62500000 5267.76708984
0.19912    170692.70312500 6148.77783203
0.20025    165088.23437500 5481.96093750
0.20137    159658.12500000 8239.25683594
0.20250    154397.15625000 8012.05371094
0.20362    149305.60937500 5957.57373047
0.20475    144376.04687500 8466.03027344
0.20587    139608.37500000 5631.88916016
0.20700    134997.76562500 6317.89501953
0.20812    130540.65625000 4913.87646484
0.20925    126235.73437500 4777.39111328
0.21037    122077.76562500 3870.62817383
0.21150    118063.92187500 5268.60205078
0.21262    114190.21093750 3659.08251953
0.21375    110455.53906250 4269.65869141
0.21487    106854.37500000 3460.07812500
0.21600    103385.11718750 3701.70385742
0.21712    100043.94531250 3273.31250000
0.21825    96828.00000000  3821.31689453
0.21937    93733.70312500  4647.72656250
0.22050    90758.02343750  4824.69628906
0.22162    87899.35156250  4989.99072266
0.22275    85153.14843750  2857.95239258
0.22387    82518.12500000  3896.81518555
0.22500    79990.18750000  4881.00097656
0.22612    77565.46875000  2906.81420898
0.22725    75242.00781250  2833.70800781
0.22837    73018.89843750  2763.53686523
0.22950    70889.78125000  3676.52124023
0.23062    68853.67187500  2631.45800781
0.23175    66909.98437500  2803.19384766
0.23287    65052.78515625  2738.55957031
0.23400    63283.03515625  3123.01782227
0.23512    61593.03906250  3926.78710938
0.23625    59984.55468750  2348.17016602
0.23737    58453.08203125  3135.09448242
0.23850    56997.72656250  2252.40747070
0.23962    55615.48828125  2810.32006836
0.24075    54303.12500000  1969.16699219
0.24187    53060.25000000  2512.96655273
0.24300    51882.11718750  2468.55102539
0.24412    50768.31250000  1866.68737793
0.24525    49716.45312500  2020.04150391
0.24637    48724.16406250  1807.97094727
0.24750    47788.43750000  2137.57666016
0.24862    46908.78125000  1932.08471680
0.24975    46082.17187500  1733.26562500
0.25087    45307.48828125  2225.30566406
0.25200    44583.33984375  1691.93762207
0.25312    43905.15234375  2008.33129883
0.25425    43274.30468750  2153.92431641
0.25537    42686.87890625  2954.83911133
0.25650    42141.67968750  2116.03881836
0.25762    41638.28515625  1938.36608887
0.25875    41173.67187500  1925.07495117
0.25987    40744.68750000  2072.70776367
0.26100    40353.19531250  3013.17285156
0.26212    39995.80468750  2367.87646484
0.26325    39671.78125000  1572.49023438
0.26438    39378.92968750  2037.78576660
0.26550    39115.53125000  2032.73620605
0.26662    38881.01171875  2029.07836914
0.26775    38673.72265625  1870.84130859
0.26888    38493.01953125  1869.89465332
0.27000    38335.74218750  2025.85217285
0.27112    38202.35546875  1715.30957031
0.27225    38091.49609375  2810.29541016
0.27337    38001.68359375  1720.40734863
0.27450    37932.30468750  2194.57324219
0.27562    37880.57812500  1571.80712891
0.27675    37847.75781250  1576.83215332
0.27787    37831.64062500  2215.56250000
0.27900    37830.66406250  2065.55419922
0.28012    37844.13281250  2393.75952148
0.28125    37871.55468750  2084.40307617
0.28237    37914.88671875  2578.59130859
0.28350    37967.13281250  2106.32153320
0.28462    38031.67187500  2281.18725586
0.28575    38105.16015625  2130.69775391
0.28687    38188.29687500  1813.92016602
0.28800    38282.69921875  2157.42138672
0.28912    38384.19921875  1837.47558594
0.29025    38492.52343750  2354.29882812
0.29137    38608.10546875  1862.52722168
0.29250    38729.09375000  1705.04833984
0.29362    38853.78515625  2060.51342773
0.29475    38985.83984375  2594.26367188
0.29587    39121.58984375  3135.83984375
0.29700    39258.60546875  1930.34558105
0.29812    39400.91406250  2651.80468750
0.29925    39544.17968750  2315.26220703
0.30037    39689.39453125  2332.47119141
0.30150    39836.71093750  1988.34973145
0.30263    39984.53906250  2185.25512695
0.30375    40133.37500000  2751.89526367
0.30487    40280.14453125  1848.10327148
0.30600    40428.71484375  1861.74230957
0.30712    40576.35156250  2250.46557617
0.30825    40721.83203125  2266.78051758
0.30937    40865.26171875  3234.30664062
0.31050    41007.72656250  2490.91186523
0.31162    41147.83203125  2894.36401367
0.31275    41284.73046875  2720.14746094
0.31387    41419.33984375  2151.91577148
0.31500    41549.27734375  2166.37939453
0.31612    41677.00781250  2180.77539062
0.31725    41800.00000000  3392.22656250
0.31837    41919.87890625  2008.22412109
0.31950    42035.15625000  2627.09228516
0.32062    42144.96093750  2846.52319336
0.32175    42250.57031250  2863.63793945
0.32287    42352.00000000  2674.76708984
0.32400    42447.83984375  3724.79785156
0.32512    42537.54687500  2705.14843750
0.32625    42623.22656250  2929.17456055
0.32737    42702.26953125  2944.69506836
0.32850    42776.43359375  2537.07006836
0.32962    42843.71093750  2549.73608398
0.33075    42905.85937500  2348.61303711
0.33187    42960.60156250  3003.10717773
0.33300    43009.83984375  2370.27197266
0.33412    43052.55859375  2597.03784180
0.33525    43088.61718750  2390.61035156
0.33637    43118.86328125  2618.50073242
0.33750    43142.73046875  2628.68627930
0.33862    43158.71484375  2418.53344727
0.33975    43169.13281250  2427.13037109
0.34087    43172.53515625  2213.94165039
0.34200    43169.52343750  2443.17895508
0.34312    43159.34765625  2227.83154297
0.34425    43143.03125000  2457.69677734
0.34537    43119.77734375  2464.37597656
0.34650    43089.32421875  3144.44335938
0.34762    43053.41796875  3602.27929688
0.34875    43009.03906250  2256.36157227
0.34987    42959.17578125  2260.99487305
0.35100    42902.92578125  2491.80175781
0.35212    42838.58593750  2496.01684570
0.35325    42768.53125000  2727.13525391
0.35437    42691.90234375  3641.19213867
0.35550    42609.23828125  2962.08764648
0.35662    42519.53515625  2508.99804688
0.35775    42424.29296875  2282.95727539
0.35887    42322.51953125  2741.54687500
0.36000    42215.04296875  3428.91674805
0.36112    42101.22265625  3430.32861328
0.36225    41981.42578125  3202.44775391
0.36337    41855.23828125  4117.77050781
0.36450    41724.07812500  2973.77929688
0.36562    41586.56250000  3659.20166016
0.36675    41443.98437500  2514.76904297
0.36787    41295.92187500  2513.45043945
0.36900    41143.84375000  3196.87646484
0.37012    40984.17187500  2965.99877930
0.37125    40820.73437500  2507.26025391
0.37237    40651.71093750  2276.74975586
