# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.19900002 156365.37500000 5629.15380859
0.20000000 151670.15625000 5030.14062500
0.20100001 147078.64062500 4902.13134766
0.20200001 142587.84375000 5210.16015625
0.20300001 138199.42187500 5074.68310547
0.20400001 133908.79687500 4529.46533203
0.20500001 129718.01562500 4008.28686523
0.20600002 125624.36718750 5850.95556641
0.20700002 121628.17968750 6451.15917969
0.20800000 117727.78906250 4797.99609375
0.20900001 113924.43750000 3588.61987305
0.21000001 110212.62500000 4883.52148438
0.21100001 106594.85937500 3728.68847656
0.21200001 103068.47656250 3951.64550781
0.21300001 99632.96093750  4477.50537109
0.21400002 96287.89843750  4036.87036133
0.21500000 93032.53125000  3315.67944336
0.21600001 89863.07031250  4095.06030273
0.21700001 86781.54687500  3689.08374023
0.21800001 83784.56250000  3302.78759766
0.21900001 80871.50000000  2935.63549805
0.22000001 78042.49218750  2587.10888672
0.22100002 75296.66406250  3008.85498047
0.22200002 72631.32031250  2915.42138672
0.22300000 70045.40625000  2353.52563477
0.22400001 67537.11718750  3191.12890625
0.22500001 65109.32812500  2648.64746094
0.22600001 62755.24609375  2564.17944336
0.22700001 60477.61328125  2482.00146484
0.22800002 58274.01171875  2201.88378906
0.22900002 56142.50000000  2130.60815430
0.23000000 54083.03515625  2436.17041016
0.23100001 52095.06640625  2356.78076172
0.23200001 50174.87109375  1928.97302246
0.23300001 48323.46875000  2713.84619141
0.23400001 46540.08593750  1804.59191895
0.23500001 44819.61718750  1586.61450195
0.23600002 43165.72265625  1841.44982910
0.23700002 41574.92187500  2523.18212891
0.23800001 40045.89453125  2009.90344238
0.23900001 38577.35156250  2083.17700195
0.24000001 37169.05468750  1478.02746582
0.24100001 35820.11328125  1560.32421875
0.24200001 34528.49218750  1510.27636719
0.24300002 33292.20312500  1705.89257812
0.24400002 32111.21484375  1770.13085938
0.24500000 30984.36718750  1257.65551758
0.24600001 29909.84765625  1329.79187012
0.24700001 28887.28320312  1182.06762695
0.24800001 27915.19140625  1146.89562988
0.24900001 26991.32617188  1214.60974121
0.25000000 26115.99218750  1081.59387207
0.25100002 25287.48046875  1529.38696289
0.25200000 24505.72265625  1115.99060059
0.25300002 23768.59765625  1358.37548828
0.25400001 23074.51367188  970.86016846
0.25500003 22422.40625000  947.12255859
0.25600001 21812.91796875  1261.33203125
0.25700000 21242.47460938  986.50048828
0.25800002 20712.01367188  1046.06030273
0.25900000 20219.64453125  867.42279053
0.26000002 19764.66406250  928.54400635
0.26100001 19344.46679688  760.23754883
0.26200002 18960.53125000  897.59161377
0.26300001 18609.39453125  810.62524414
0.26400000 18291.73632812  872.51580811
0.26500002 18006.16210938  1149.51342773
0.26600000 17751.19531250  710.93536377
0.26700002 17526.80273438  704.57751465
0.26800001 17331.22851562  699.31506348
0.26900002 17163.08398438  695.10498047
0.27000001 17022.58398438  830.36169434
0.27100003 16907.70312500  827.80120850
0.27200001 16819.85937500  1033.15991211
0.27300000 16754.28125000  688.60095215
0.27400002 16711.30078125  965.07769775
0.27500001 16693.07812500  691.09344482
0.27600002 16694.65039062  971.12786865
0.27700001 16718.34375000  697.15496826
0.27800003 16761.35937500  771.60925293
0.27900001 16823.69726562  847.91436768
0.28000000 16904.14062500  855.01141357
0.28100002 17001.51757812  862.99707031
0.28200001 17116.80078125  944.59069824
0.28300002 17247.42187500  1102.11035156
0.28400001 17393.19531250  966.62683105
0.28500003 17553.49609375  903.65405273
0.28600001 17726.92578125  839.45861816
0.28700000 17913.46679688  773.86175537
0.28800002 18112.32031250  863.68603516
0.28900000 18323.22460938  1275.29650879
0.29000002 18544.30273438  890.40478516
0.29100001 18776.29296875  822.40167236
0.29200003 19017.39257812  919.39593506
0.29300001 19267.61523438  1104.61242676
0.29400000 19525.73046875  864.01354980
0.29500002 19792.22656250  1054.52990723
0.29600000 20065.13281250  1162.07214355
0.29700002 20344.37695312  909.39373779
0.29800001 20630.42187500  1017.80187988
0.29900002 20921.58593750  941.47143555
0.30000001 21217.32031250  1053.75830078
0.30100003 21517.81835938  1267.18444824
0.30200002 21821.40820312  1289.31799316
0.30300000 22128.89062500  1715.43164062
0.30400002 22439.50390625  1539.91101074
0.30500001 22751.54882812  1148.72570801
0.30600002 23065.97070312  1380.84448242
0.30700001 23382.35742188  1080.26489258
0.30800003 23699.02343750  1427.98474121
0.30900002 24017.07617188  1228.47351074
0.31000000 24335.00585938  2043.41040039
0.31100002 24652.32421875  1499.84753418
0.31200001 24969.67968750  1172.32653809
0.31300002 25285.93945312  1190.96789551
0.31400001 25601.65820312  1451.61401367
0.31500003 25914.72851562  1351.19409180
0.31600001 26226.19531250  1247.05566406
0.31700000 26535.91406250  1392.33947754
0.31800002 26842.54296875  1284.41577148
0.31900001 27147.01562500  1433.36242676
0.32000002 27448.10156250  1982.43933105
0.32100001 27745.53710938  2278.18603516
0.32200003 28040.21093750  2037.82250977
0.32300001 28329.71289062  2478.28344727
0.32400000 28615.76367188  1395.01843262
0.32500002 28897.50976562  1695.70593262
0.32600001 29174.63671875  1431.01599121
0.32700002 29447.05273438  2318.07226562
0.32800001 29715.07617188  1613.08300781
0.32900003 29977.27148438  1632.26257324
0.33000001 30234.87109375  1951.50988770
0.33100003 30485.80468750  2125.47045898
0.33200002 30732.75781250  2149.14184570
0.33300000 30973.17578125  1862.10729980
0.33400002 31207.78906250  2038.64892578
0.33500001 31436.21484375  2059.70092773
0.33600003 31658.87500000  2080.46313477
0.33700001 31875.03710938  1616.06445312
0.33800003 32085.20898438  2284.14624023
0.33900002 32288.66406250  1811.39416504
0.34000000 32485.43164062  2326.28173828
0.34100002 32675.81835938  2179.15039062
0.34200001 32860.62890625  2366.95117188
0.34300002 33037.37500000  1704.72863770
0.34400001 33208.53125000  1890.39575195
0.34500003 33372.54296875  1732.03515625
0.34600002 33530.21484375  2443.34692383
0.34700000 33680.07812500  2637.15014648
0.34800002 33823.58593750  2301.86425781
0.34900001 33960.44140625  1782.92321777
0.35000002 34090.44140625  1974.34802246
0.35100001 34213.96875000  1806.49755859
0.35200003 34329.49609375  2544.84570312
0.35300002 34438.91015625  2011.57678223
0.35400000 34541.04687500  2023.24182129
0.35500002 34637.16406250  2034.58715820
0.35600001 34725.89453125  2045.52880859
0.35700002 34807.67187500  2803.75805664
0.35800001 34883.33984375  2254.16137695
0.35900003 34952.05078125  2264.89306641
0.36000001 35014.51171875  2275.24316406
0.36100003 35069.91015625  2285.15551758
0.36200002 35119.58984375  1912.26171875
0.36300001 35161.94921875  2303.81103516
0.36400002 35198.11328125  2312.51611328
